#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BCB78D
#Date Time: 2025-07-19 19:36:32.886.555.610
#Sample rate: 4074.98Hz
#Samples: 16384
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 1 V/div Offset: -8 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: -8 V Sample Mode: Average
#Math 1: Function: C2 - C1


Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-2.360255450306748,8.08387038510457,8.070411829002106,-0.0134585561024636
-2.360010050306748,8.082963857669037,8.071318853480347,-0.01164500418869079
-2.359764650306748,8.082963857669037,8.070411829002106,-0.01255202866693139
-2.359519250306748,8.082963857669037,8.071318853480347,-0.01164500418869079
-2.359273850306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.359028450306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.358783050306748,8.082963857669037,8.069504804523865,-0.01345905314517117
-2.358537650306748,8.082963857669037,8.071318853480347,-0.01164500418868997
-2.358292250306748,8.082963857669037,8.069504804523865,-0.01345905314517282
-2.358046850306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.357801450306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.357556050306748,8.082963857669037,8.070411829002106,-0.01255202866693139
-2.357310650306748,8.082963857669037,8.069504804523865,-0.01345905314517282
-2.357065250306748,8.082963857669037,8.069504804523865,-0.01345905314517282
-2.356819850306748,8.082057330233505,8.068597780045623,-0.01345955018788203
-2.356574450306748,8.082057330233505,8.069504804523865,-0.01255252570964061
-2.356329050306748,8.082057330233505,8.069504804523865,-0.01255252570964061
-2.356083650306748,8.081150802797973,8.070411829002106,-0.01073897379586862
-2.355838250306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.355592850306748,8.082057330233505,8.071318853480347,-0.01073847675315776
-2.355347450306748,8.082057330233505,8.070411829002106,-0.01164550123139835
-2.355102050306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.354856650306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.354611250306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.354365850306748,8.082963857669037,8.071318853480347,-0.01164500418868997
-2.354120450306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.353875050306748,8.082057330233505,8.069504804523865,-0.01255252570963978
-2.353629650306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.353384250306748,8.082057330233505,8.071318853480347,-0.01073847675315858
-2.353138850306748,8.082963857669037,8.071318853480347,-0.01164500418868997
-2.352893450306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-2.352648050306748,8.082057330233505,8.069504804523865,-0.01255252570963978
-2.352402650306748,8.081150802797973,8.070411829002106,-0.01073897379586697
-2.352157250306748,8.081150802797973,8.070411829002106,-0.01073897379586697
-2.351911850306748,8.081150802797973,8.070411829002106,-0.01073897379586697
