#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BCB78D
#Date Time: 2025-07-19 19:26:01.219.048.350
#Sample rate: 3200Hz
#Samples: 16384
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 1 V/div Offset: -8 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: -8 V Sample Mode: Average
#Math 1: Function: C2 - C1


Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-2.56,8.09293565945989,8.077668024828034,-0.0152676346318561
-2.5596875,8.093842186895422,8.077668024828034,-0.01617416206738831
-2.559375,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.5590625,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.55875,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5584375,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.558125,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.5578125,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.5575,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5571875,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.556875,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5565625,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.55625,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.5559375,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.555625,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5553125,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.555,8.093842186895422,8.079482073784517,-0.01436011311090628
-2.5546875,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.554375,8.09293565945989,8.078575049306275,-0.0143606101536155
-2.5540625,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.55375,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5534375,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.553125,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.5528125,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5525,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.5521875,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.551875,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5515625,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.55125,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.5509375,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.550625,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.5503125,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.55,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5496875,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.549375,8.09293565945989,8.077668024828034,-0.0152676346318561
-2.5490625,8.093842186895422,8.077668024828034,-0.01617416206738831
-2.54875,8.093842186895422,8.077668024828034,-0.01617416206738831
-2.5484375,8.09293565945989,8.077668024828034,-0.0152676346318561
-2.548125,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5478125,8.093842186895422,8.077668024828034,-0.01617416206738831
-2.5475,8.093842186895422,8.077668024828034,-0.01617416206738831
-2.5471875,8.095655241766485,8.079482073784515,-0.01617316798196988
-2.546875,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5465625,8.094748714330954,8.078575049306275,-0.01617366502467827
-2.54625,8.093842186895422,8.078575049306275,-0.01526713758914688
-2.5459375,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.545625,8.093842186895422,8.078575049306275,-0.01526713758914771
-2.5453125,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.545,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.5446875,8.093842186895422,8.078575049306275,-0.01526713758914771
-2.544375,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.5440625,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.54375,8.094748714330954,8.079482073784517,-0.01526664054643767
-2.5434375,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.543125,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.5428125,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.5425,8.093842186895422,8.079482073784517,-0.01436011311090546
-2.5421875,8.094748714330954,8.078575049306275,-0.0161736650246791
-2.541875,8.095655241766487,8.079482073784517,-0.01617316798196988
-2.5415625,8.094748714330954,8.079482073784517,-0.01526664054643767
